,taxon,collection_no,early_age,late_age,early_interval,late_interval,uncertainty.interval,notes,
1,Aelurodon_asthenostylus,17908,16.3,14.8,Early Barstovian,NA,1.5,Wang lists Early Barstovian,
2,Aelurodon_asthenostylus,17998,16.3,14.8,Early Barstovian,NA,1.5,Wang lists Early Barstovian,
3,Aelurodon_asthenostylus,19097,16.3,14.8,Early Barstovian,NA,1.5,Wang lists Early Barstovian,
4,Aelurodon_asthenostylus,18203,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
5,Aelurodon_asthenostylus,19364,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
6,Aelurodon_asthenostylus,19366,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
7,Aelurodon_asthenostylus,19422,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
8,Aelurodon_asthenostylus,19457,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
9,Aelurodon_asthenostylus,19458,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
10,Aelurodon_asthenostylus,19463,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
11,Aelurodon_asthenostylus,19548,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
12,Aelurodon_asthenostylus,214888,14.8,12.5,Late Barstovian,NA,2.3,Wang lists Late Barstovian,
13,Aelurodon_ferox,18031,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
14,Aelurodon_ferox,18051,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
15,Aelurodon_ferox,18068,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
16,Aelurodon_ferox,18090,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
17,Aelurodon_ferox,18109,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
18,Aelurodon_ferox,18120,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
19,Aelurodon_ferox,18124,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
20,Aelurodon_ferox,18138,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
21,Aelurodon_ferox,18162,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
22,Aelurodon_ferox,18164,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
23,Aelurodon_ferox,18167,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
24,Aelurodon_ferox,18188,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
25,Aelurodon_ferox,18192,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
