,taxon,collection_no,early_age,late_age,early_interval,late_interval,uncertainty.interval,notes,
26,Aelurodon_ferox,18206,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
27,Aelurodon_ferox,18209,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
28,Aelurodon_ferox,18217,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
29,Aelurodon_ferox,18248,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
30,Aelurodon_ferox,18261,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
31,Aelurodon_ferox,18266,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
32,Aelurodon_ferox,18271,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
33,Aelurodon_ferox,18275,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
34,Aelurodon_ferox,18281,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
35,Aelurodon_ferox,18284,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
36,Aelurodon_ferox,18357,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
37,Aelurodon_ferox,18361,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
38,Aelurodon_ferox,18399,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
39,Aelurodon_ferox,18405,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
40,Aelurodon_ferox,18411,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
41,Aelurodon_ferox,18442,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
42,Aelurodon_ferox,18443,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
43,Aelurodon_ferox,18461,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
44,Aelurodon_ferox,18464,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
45,Aelurodon_ferox,18628,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
46,Aelurodon_ferox,18637,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
47,Aelurodon_ferox,19287,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
48,Aelurodon_ferox,19519,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
49,Aelurodon_ferox,19520,14.8,12.5,Late Barstovian,NA,2.3,"Wang lists as Early Barstovian (and some of these are cf. or synonyms Wang didn't consider ferox, need to clean up before Chapter 3)",
50,Aelurodon_ferox,18075,12.5,9.4,Clarendonian,NA,3.1,,
51,Aelurodon_ferox,18152,12.5,9.4,Clarendonian,NA,3.1,,
52,Aelurodon_ferox,18176,12.5,9.4,Clarendonian,NA,3.1,,
53,Aelurodon_ferox,18242,12.5,9.4,Clarendonian,NA,3.1,,
54,Aelurodon_ferox,18260,12.5,9.4,Clarendonian,NA,3.1,,
55,Aelurodon_ferox,18267,12.5,9.4,Clarendonian,NA,3.1,,
56,Aelurodon_ferox,18466,12.5,9.4,Clarendonian,NA,3.1,,
57,Aelurodon_mcgrewi,18058,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
58,Aelurodon_mcgrewi,18125,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
59,Aelurodon_mcgrewi,18153,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
60,Aelurodon_mcgrewi,18341,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
61,Aelurodon_mcgrewi,18345,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
62,Aelurodon_mcgrewi,18363,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
63,Aelurodon_mcgrewi,18402,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
64,Aelurodon_mcgrewi,18412,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
65,Aelurodon_mcgrewi,18442,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
66,Aelurodon_stirtoni,18119,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
67,Aelurodon_stirtoni,19520,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
68,Aelurodon_stirtoni,19535,14.8,12.5,Late Barstovian,NA,2.3,Wang lists as Late Barstovian,
69,Aelurodon_stirtoni,18159,12.5,9.4,Clarendonian,NA,3.1,,
70,Aelurodon_stirtoni,18176,12.5,9.4,Clarendonian,NA,3.1,,
71,Aelurodon_stirtoni,18217,12.5,9.4,Clarendonian,NA,3.1,,
72,Aelurodon_stirtoni,18408,12.5,9.4,Clarendonian,NA,3.1,,
73,Aelurodon_stirtoni,18414,12.5,9.4,Clarendonian,NA,3.1,,
74,Aelurodon_taxoides,18032,14.8,12.5,Late Barstovian,NA,2.3,Wang says Late Barstovian,
75,Aelurodon_taxoides,19320,14.8,12.5,Late Barstovian,NA,2.3,Wang says Late Barstovian,
76,Aelurodon_taxoides,18095,12.5,11.63,Early Clarendonian,NA,3.1,,
77,Aelurodon_taxoides,18262,12.5,11.63,Early Clarendonian,NA,0.87,,
78,Aelurodon_taxoides,18022,12.5,9.4,Clarendonian,NA,3.1,,
79,Aelurodon_taxoides,18057,12.5,9.4,Clarendonian,NA,3.1,,
80,Aelurodon_taxoides,18063,12.5,9.4,Clarendonian,NA,3.1,,
81,Aelurodon_taxoides,18071,12.5,9.4,Clarendonian,NA,3.1,,
82,Aelurodon_taxoides,18074,12.5,9.4,Clarendonian,NA,3.1,,
83,Aelurodon_taxoides,18091,12.5,9.4,Clarendonian,NA,3.1,,
84,Aelurodon_taxoides,18092,12.5,9.4,Clarendonian,NA,3.1,,
85,Aelurodon_taxoides,18096,12.5,9.4,Clarendonian,NA,3.1,,
86,Aelurodon_taxoides,18118,12.5,9.4,Clarendonian,NA,3.1,,
87,Aelurodon_taxoides,18149,12.5,9.4,Clarendonian,NA,3.1,,
88,Aelurodon_taxoides,18151,12.5,9.4,Clarendonian,NA,3.1,,
89,Aelurodon_taxoides,18171,12.5,9.4,Clarendonian,NA,3.1,,
90,Aelurodon_taxoides,18179,12.5,9.4,Clarendonian,NA,3.1,,
91,Aelurodon_taxoides,18190,12.5,9.4,Clarendonian,NA,3.1,,
92,Aelurodon_taxoides,18200,12.5,9.4,Clarendonian,NA,3.1,,
93,Aelurodon_taxoides,18214,12.5,9.4,Clarendonian,NA,3.1,,
94,Aelurodon_taxoides,18218,12.5,9.4,Clarendonian,NA,3.1,,
95,Aelurodon_taxoides,18222,12.5,9.4,Clarendonian,NA,3.1,,
96,Aelurodon_taxoides,18227,12.5,9.4,Clarendonian,NA,3.1,,
97,Aelurodon_taxoides,18230,12.5,9.4,Clarendonian,NA,3.1,,
98,Aelurodon_taxoides,18244,12.5,9.4,Clarendonian,NA,3.1,,
99,Aelurodon_taxoides,18245,12.5,9.4,Clarendonian,NA,3.1,,
100,Aelurodon_taxoides,18268,12.5,9.4,Clarendonian,NA,3.1,,
101,Aelurodon_taxoides,18278,12.5,9.4,Clarendonian,NA,3.1,,
102,Aelurodon_taxoides,18279,12.5,9.4,Clarendonian,NA,3.1,,
103,Aelurodon_taxoides,18283,12.5,9.4,Clarendonian,NA,3.1,,
104,Aelurodon_taxoides,18288,12.5,9.4,Clarendonian,NA,3.1,,
105,Aelurodon_taxoides,18299,12.5,9.4,Clarendonian,NA,3.1,,
106,Aelurodon_taxoides,18301,12.5,9.4,Clarendonian,NA,3.1,,
107,Aelurodon_taxoides,18321,12.5,9.4,Clarendonian,NA,3.1,,
108,Aelurodon_taxoides,18333,12.5,9.4,Clarendonian,NA,3.1,,
109,Aelurodon_taxoides,18336,12.5,9.4,Clarendonian,NA,3.1,,
110,Aelurodon_taxoides,18348,12.5,9.4,Clarendonian,NA,3.1,,
111,Aelurodon_taxoides,18355,12.5,9.4,Clarendonian,NA,3.1,,
112,Aelurodon_taxoides,18378,12.5,9.4,Clarendonian,NA,3.1,,
113,Aelurodon_taxoides,18409,12.5,9.4,Clarendonian,NA,3.1,,
114,Aelurodon_taxoides,18446,12.5,9.4,Clarendonian,NA,3.1,,
115,Aelurodon_taxoides,18457,12.5,9.4,Clarendonian,NA,3.1,,
116,Aelurodon_taxoides,18458,12.5,9.4,Clarendonian,NA,3.1,,
117,Aelurodon_taxoides,18459,12.5,9.4,Clarendonian,NA,3.1,,
118,Aelurodon_taxoides,18463,12.5,9.4,Clarendonian,NA,3.1,,
119,Aelurodon_taxoides,18468,12.5,9.4,Clarendonian,NA,3.1,,
120,Aelurodon_taxoides,18494,12.5,9.4,Clarendonian,NA,3.1,,
121,Aelurodon_taxoides,18496,12.5,9.4,Clarendonian,NA,3.1,,
122,Aelurodon_taxoides,18610,12.5,9.4,Clarendonian,NA,3.1,,
123,Aelurodon_taxoides,18610,12.5,9.4,Clarendonian,NA,3.1,,
124,Aelurodon_taxoides,18623,12.5,9.4,Clarendonian,NA,3.1,,
125,Aelurodon_taxoides,18640,12.5,9.4,Clarendonian,NA,3.1,,
126,Aelurodon_taxoides,18645,12.5,9.4,Clarendonian,NA,3.1,,
127,Aelurodon_taxoides,18845,12.5,9.4,Clarendonian,NA,3.1,,
128,Aelurodon_taxoides,19185,12.5,9.4,Clarendonian,NA,3.1,,
129,Aelurodon_taxoides,19391,12.5,9.4,Clarendonian,NA,3.1,,
130,Aelurodon_taxoides,19528,11.63,9.4,Late Clarendonian,NA,2.23,modfied based on PBDB subage definitions,
131,Aelurodon_taxoides,18042,10,9.4,Late Clarendonian,NA,0.6,"Wang says Late Clarendonian, using Tedford 1987, which defines it as Cl3 = 10-9mya",
132,Aenocyon_dirus,20138,0.85,0.21,Irvingtonian,NA,1.19,,
133,Aenocyon_dirus,20166,0.85,0.21,Irvingtonian,NA,1.19,,
134,Aenocyon_dirus,20283,0.85,0.21,Irvingtonian,NA,1.19,,
135,Aenocyon_dirus,20295,0.85,0.21,Irvingtonian,NA,1.19,,
136,Aenocyon_dirus,20327,0.85,0.21,Irvingtonian,NA,1.19,,
137,Aenocyon_dirus,20347,0.85,0.21,Irvingtonian,NA,1.19,,
138,Aenocyon_dirus,20376,0.85,0.21,Irvingtonian,NA,1.19,,
139,Aenocyon_dirus,20387,0.85,0.21,Irvingtonian,NA,1.19,,
140,Aenocyon_dirus,20501,0.85,0.21,Irvingtonian,NA,1.19,,
141,Aenocyon_dirus,20503,0.85,0.21,Irvingtonian,NA,1.19,,
142,Aenocyon_dirus,20520,0.85,0.21,Irvingtonian,NA,1.19,,
143,Aenocyon_dirus,20639,0.774,0.129,Middle Pleistocene,NA,0.645,,
144,Aenocyon_dirus,20398,0.21,0.014,Rancholabrean,NA,0.196,,
145,Aenocyon_dirus,20491,0.21,0.014,Rancholabrean,NA,0.196,,
146,Aenocyon_dirus,20495,0.21,0.014,Rancholabrean,NA,0.196,,
147,Aenocyon_dirus,20624,0.21,0.014,Rancholabrean,NA,0.196,,
148,Aenocyon_dirus,79757,0.21,0.014,Rancholabrean,NA,0.196,,
149,Aenocyon_dirus,79918,0.21,0.014,Rancholabrean,NA,0.196,,
150,Aenocyon_dirus,85314,0.21,0.014,Rancholabrean,NA,0.196,,
151,Aenocyon_dirus,150336,0.21,0.014,Rancholabrean,NA,0.196,,
152,Aenocyon_dirus,195112,0.21,0.014,Rancholabrean,NA,0.196,,
153,Aenocyon_dirus,206993,0.21,0.014,Rancholabrean,NA,0.196,,
154,Aenocyon_dirus,20273,0.129,0.0117,Late Pleistocene,NA,0.1173,,
155,Aenocyon_dirus,20569,0.129,0.0117,Late Pleistocene,NA,0.1173,,
156,Aenocyon_dirus,20572,0.129,0.0117,Late Pleistocene,NA,0.1173,,
157,Aenocyon_dirus,20573,0.129,0.0117,Late Pleistocene,NA,0.1173,,
158,Aenocyon_dirus,20580,0.129,0.0117,Late Pleistocene,NA,0.1173,,
159,Aenocyon_dirus,20594,0.129,0.0117,Late Pleistocene,NA,0.1173,,
160,Aenocyon_dirus,20600,0.129,0.0117,Late Pleistocene,NA,0.1173,,
161,Aenocyon_dirus,20619,0.129,0.0117,Late Pleistocene,NA,0.1173,,
162,Aenocyon_dirus,20628,0.129,0.0117,Late Pleistocene,NA,0.1173,,
163,Aenocyon_dirus,20636,0.129,0.0117,Late Pleistocene,NA,0.1173,,
164,Aenocyon_dirus,20638,0.129,0.0117,Late Pleistocene,NA,0.1173,,
165,Aenocyon_dirus,20641,0.129,0.0117,Late Pleistocene,NA,0.1173,,
166,Aenocyon_dirus,20642,0.129,0.0117,Late Pleistocene,NA,0.1173,,
167,Aenocyon_dirus,34269,0.129,0.0117,Late Pleistocene,NA,0.1173,,
168,Aenocyon_dirus,63515,0.129,0.0117,Late Pleistocene,NA,0.1173,,
169,Aenocyon_dirus,71277,0.129,0.0117,Late Pleistocene,NA,0.1173,,
170,Aenocyon_dirus,71345,0.129,0.0117,Late Pleistocene,NA,0.1173,,
171,Aenocyon_dirus,71346,0.129,0.0117,Late Pleistocene,NA,0.1173,,
172,Aenocyon_dirus,73752,0.129,0.0117,Late Pleistocene,NA,0.1173,,
173,Aenocyon_dirus,74141,0.129,0.0117,Late Pleistocene,NA,0.1173,,
174,Aenocyon_dirus,74292,0.129,0.0117,Late Pleistocene,NA,0.1173,,
175,Aenocyon_dirus,75995,0.129,0.0117,Late Pleistocene,NA,0.1173,,
176,Aenocyon_dirus,76059,0.129,0.0117,Late Pleistocene,NA,0.1173,,
177,Aenocyon_dirus,79581,0.129,0.0117,Late Pleistocene,NA,0.1173,,
178,Aenocyon_dirus,79630,0.129,0.0117,Late Pleistocene,NA,0.1173,,
179,Aenocyon_dirus,79683,0.129,0.0117,Late Pleistocene,NA,0.1173,,
180,Aenocyon_dirus,79923,0.129,0.0117,Late Pleistocene,NA,0.1173,,
181,Aenocyon_dirus,85142,0.129,0.0117,Late Pleistocene,NA,0.1173,,
182,Aenocyon_dirus,86271,0.129,0.0117,Late Pleistocene,NA,0.1173,,
183,Aenocyon_dirus,93103,0.129,0.0117,Late Pleistocene,NA,0.1173,,
184,Aenocyon_dirus,93181,0.129,0.0117,Late Pleistocene,NA,0.1173,,
185,Aenocyon_dirus,93251,0.129,0.0117,Late Pleistocene,NA,0.1173,,
186,Aenocyon_dirus,93332,0.129,0.0117,Late Pleistocene,NA,0.1173,,
187,Aenocyon_dirus,93379,0.129,0.0117,Late Pleistocene,NA,0.1173,,
188,Aenocyon_dirus,103991,0.129,0.0117,Late Pleistocene,NA,0.1173,,
189,Aenocyon_dirus,104758,0.129,0.0117,Late Pleistocene,NA,0.1173,,
190,Aenocyon_dirus,104797,0.129,0.0117,Late Pleistocene,NA,0.1173,,
191,Aenocyon_dirus,144976,0.129,0.0117,Late Pleistocene,NA,0.1173,,
192,Aenocyon_dirus,145376,0.129,0.0117,Late Pleistocene,NA,0.1173,,
193,Aenocyon_dirus,154722,0.129,0.0117,Late Pleistocene,NA,0.1173,,
194,Aenocyon_dirus,154771,0.129,0.0117,Late Pleistocene,NA,0.1173,,
195,Aenocyon_dirus,154804,0.129,0.0117,Late Pleistocene,NA,0.1173,,
196,Aenocyon_dirus,154805,0.129,0.0117,Late Pleistocene,NA,0.1173,,
197,Aenocyon_dirus,154910,0.129,0.0117,Late Pleistocene,NA,0.1173,,
198,Aenocyon_dirus,154921,0.129,0.0117,Late Pleistocene,NA,0.1173,,
199,Aenocyon_dirus,155393,0.129,0.0117,Late Pleistocene,NA,0.1173,,
200,Aenocyon_dirus,155409,0.129,0.0117,Late Pleistocene,NA,0.1173,,
201,Aenocyon_dirus,227227,0.129,0.0117,Late Pleistocene,NA,0.1173,,
202,Aenocyon_dirus,230753,0.129,0.0117,Late Pleistocene,NA,0.1173,,
203,Aenocyon_dirus,230908,0.129,0.0117,Late Pleistocene,NA,0.1173,,
204,Aenocyon_dirus,230983,0.129,0.0117,Late Pleistocene,NA,0.1173,,
205,Aenocyon_dirus,NA,0.013117,0.012965,Pre-Younger Dryas,NA,0.000152,Radiocarbon dated occurrence from this paper,
206,Archaeocyon_falkenbachi,17472,24.7,23.1,Medial Arikareean,NA,4,"DELETE; Bruno: Wang says medial Arikareean, and I don't want to delete a species, so I changed it to 24-28mya, based on p. 338 of Wang)",
207,Archaeocyon_leptodus,17335,31.8,29.5,Whitneyan,NA,2.3,,
208,Archaeocyon_leptodus,17377,31.8,29.5,Whitneyan,NA,2.3,,
209,Archaeocyon_leptodus,17607,29.5,24.7,Geringian,NA,4.8,,
210,Archaeocyon_leptodus,17627,29.5,24.7,Geringian,NA,4.8,,
211,Archaeocyon_leptodus,17629,29.5,24.7,Geringian,NA,4.8,,
212,Archaeocyon_leptodus,17630,29.5,24.7,Geringian,NA,4.8,,
213,Archaeocyon_leptodus,17633,29.5,24.7,Geringian,NA,4.8,,
214,Archaeocyon_leptodus,17634,29.5,24.7,Geringian,NA,4.8,,
215,Archaeocyon_leptodus,17635,29.5,24.7,Geringian,NA,4.8,,
216,Archaeocyon_leptodus,17636,29.5,24.7,Geringian,NA,4.8,,
217,Archaeocyon_leptodus,17637,29.5,24.7,Geringian,NA,4.8,,
218,Archaeocyon_leptodus,17644,29.5,24.7,Geringian,NA,4.8,,
219,Archaeocyon_leptodus,17651,29.5,24.7,Geringian,NA,4.8,,
220,Archaeocyon_leptodus,17654,29.5,24.7,Geringian,NA,4.8,,
221,Archaeocyon_leptodus,17472,24.7,23.1,Medial Arikareean,NA,4,DELETE; Wang says Medial Arikareean,
222,Archaeocyon_pavidus,17305,31.8,29.5,Whitneyan,NA,2.3,,
223,Archaeocyon_pavidus,17317,31.8,29.5,Whitneyan,NA,2.3,,
224,Archaeocyon_pavidus,17325,31.8,29.5,Whitneyan,NA,2.3,,
225,Archaeocyon_pavidus,17356,31.8,29.5,Whitneyan,NA,2.3,,
226,Archaeocyon_pavidus,17374,31.8,29.5,Whitneyan,NA,2.3,,
227,Archaeocyon_pavidus,17380,31.8,29.5,Whitneyan,NA,2.3,,
228,Archaeocyon_pavidus,17349,29.5,24.7,Early Arikareean,NA,1.5,Wang says Early Arikareean,
229,Archaeocyon_pavidus,17663,29.5,24.7,Geringian,NA,1.5,Wang defines Early Arikareean as 29.5-28,
230,Borophagus_diversidens,19932,4.7,4.1,Early Blancan,NA,0.7,"Wang lists this as Early Blancan, which he seems to consider ends at 4",
231,Borophagus_diversidens,19631,4.7,1.8,Blancan,NA,3.3,,
232,Borophagus_diversidens,19662,4.7,1.8,Blancan,NA,3.3,,
233,Borophagus_diversidens,19663,4.7,1.8,Blancan,NA,3.3,,
234,Borophagus_diversidens,19664,4.7,1.8,Blancan,NA,3.3,,
235,Borophagus_diversidens,19665,4.7,1.8,Blancan,NA,3.3,,
236,Borophagus_diversidens,19668,4.7,1.8,Blancan,NA,3.3,,
237,Borophagus_diversidens,19701,4.7,1.8,Blancan,NA,3.3,,
238,Borophagus_diversidens,19757,4.7,1.8,Blancan,NA,3.3,,
239,Borophagus_diversidens,19913,4.7,1.8,Blancan,NA,3.3,,
240,Borophagus_diversidens,19954,4.7,1.8,Blancan,NA,3.3,,
241,Borophagus_diversidens,19955,4.7,1.8,Blancan,NA,3.3,,
242,Borophagus_diversidens,19957,4.7,1.8,Blancan,NA,3.3,,
243,Borophagus_diversidens,19960,4.7,1.8,Blancan,NA,3.3,,
244,Borophagus_diversidens,19963,4.7,1.8,Blancan,NA,3.3,,
245,Borophagus_diversidens,19965,4.7,1.8,Blancan,NA,3.3,,
246,Borophagus_diversidens,20023,4.7,1.8,Blancan,NA,3.3,,
247,Borophagus_diversidens,20026,4.7,1.8,Blancan,NA,3.3,,
248,Borophagus_diversidens,20032,4.7,1.8,Blancan,NA,3.3,,
249,Borophagus_diversidens,20033,4.7,1.8,Blancan,NA,3.3,,
250,Borophagus_diversidens,20034,4.7,1.8,Blancan,NA,3.3,,
251,Borophagus_diversidens,20060,4.7,1.8,Blancan,NA,3.3,,
252,Borophagus_diversidens,20062,4.7,1.8,Blancan,NA,3.3,,
253,Borophagus_diversidens,20075,4.7,1.8,Blancan,NA,3.3,,
254,Borophagus_diversidens,20077,4.7,1.8,Blancan,NA,3.3,,
255,Borophagus_diversidens,20117,4.7,1.8,Blancan,NA,3.3,,
256,Borophagus_diversidens,20119,4.7,1.8,Blancan,NA,3.3,,
257,Borophagus_diversidens,19758,2.58,1.8,Gelasian,NA,0.78,,
258,Borophagus_dudleyi,18565,7.5,4.7,Late Hemphillian,NA,2.3,"Wang says Late late Hemphillian, and lists dividing Hemphillian at 7my",
259,Borophagus_dudleyi,52582,5.333,3.6,Zanclean,NA,1.733,,
260,Borophagus_hilli,18036,7.5,4.7,Late Hemphillian,NA,2.55,"Modified based on Late Hemphillian substage PBDB; Bruno: I think late here means 7.25, since in Wang he separates it like that, and that's the source here/it's older",
261,Borophagus_hilli,18093,7.5,4.7,Late Hemphillian,NA,2.55,"Modified based on Late Hemphillian substage PBDB; Bruno: I think late here means 7.25, since in Wang he separates it like that, and that's the source here/it's older",
262,Borophagus_hilli,18502,7.5,4.7,Late Hemphillian,NA,2.55,"Modified based on Late Hemphillian substage PBDB; Bruno: I think late here means 7.25, since in Wang he separates it like that, and that's the source here/it's older",
263,Borophagus_hilli,18513,7.5,4.7,Late Hemphillian,NA,2.55,"Modified based on Late Hemphillian substage PBDB; Bruno: I think late here means 7.25, since in Wang he separates it like that, and that's the source here/it's older",
264,Borophagus_hilli,18527,7.5,4.7,Late Hemphillian,NA,2.55,"Modified based on Late Hemphillian substage PBDB; Bruno: I think late here means 7.25, since in Wang he separates it like that, and that's the source here/it's older",
265,Borophagus_hilli,18532,7.5,4.7,Late Hemphillian,NA,2.55,"Modified based on Late Hemphillian substage PBDB; Bruno: I think late here means 7.25, since in Wang he separates it like that, and that's the source here/it's older",
