taxon	fa_max	fa_min	la_max	la_min	k
Rhizocyon_oregonensis	29.5	24.7	29.5	24.7	3
Speothos_venaticus	0.4	0.0117	0	0	2
Sunkahetanka_geringensis	29.5	24.7	29.5	24.7	3
Tephrocyon_rurestris	17.5	16.3	16.3	14.8	7
Theriodictis_floridanus	3	1.8	1.8	0.85	2
Tomarctus_brevirostris	18.5	17.5	14.8	12.5	19
Tomarctus_hippophaga	16.3	14.8	16.3	14.8	23
Urocyon_cinereoargenteus	0.21	0.0117	0	0	29
Urocyon_citrinus	1.8	0.85	1.8	0.85	1
Urocyon_galushai	4.7	4.1	3	1.8	5
Urocyon_littoralis	0.0117	0	0	0	3
Urocyon_minicephalus	0.85	0.21	0.85	0.21	2
Urocyon_webbi	7.5	4.7	7.5	4.7	1
Vulpes_cana	0	0	0	0	0
Vulpes_chama	0.129	0.0117	0	0	9
Vulpes_corsac	0	0	0	0	0
Vulpes_ferrilata	0	0	0	0	0
Vulpes_lagopus	0.129	0.0117	0	0	42
Vulpes_macrotis	0.129	0.0117	0	0	1
Vulpes_pallida	0	0	0	0	0
Vulpes_rueppellii	0	0	0	0	0
Vulpes_stenognathus	14.8	12.5	7.5	4.7	21
Vulpes_velox	1.8	0.21	0	0	12
Vulpes_vulpes	0.774	0.129	0	0	70
Vulpes_zerda	0	0	0	0	0
Xenocyon_texanus	0.85	0.21	0.85	0.21	1
